path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
ColubridLovers_ProjectOne\943ff5259ac5a760c6587c98620a855a8ea16bb6\Project1\main\mainapp\admin.py,6,written by copilot,file,"[1,9]",,
game-of-life\99ff1b37b90a2d4aa9436c9db4b711aede34131a\gui.py,2,written by copilot,file,"[1,189]",,
NeetCode\822d5781a0d703330ae1940fa2a9c8cbc3b3717a\sliding_window\minimum_window_substring.py,63,written by copilot,method,"[64,85]",,
dive-map\a857ae4735b9e1616258de48faa9b8a8d5142109\mapper.py,242,written by copilot,method,"[241,248]",,
CSI4180_Homework2\f9a42febe8bafb258d34323c9e2422591b6b267e\homeworkTwo.py,126,written by copilot,method,"[127,134]",,
hospital_management_system\9fcc0a4a565345f46a187d28ed21d2dfd9e34ec8\SickRecordOperation.py,103,written by copilot,statement,"[104,115]",,
LimeBot\9da3ff66b1da7b61fde2e84d779042810c97edf0\cogs\chatgpt.py,35,written by copilot,statement,"[12,36]",,input
advent-of-code-2023\c414845d2e430da9553cf46a286c494f7fe6e119\day3.py,72,written by copilot,no code,,,
fastest-coder-hackathon\bec7173e95d0d3c64d7cd2e20d316b4b615d6d06\main.py,21,written by copilot,file,"[1,21]",,
SE_Project2\ed128adf9838a4b3277d42a416bc0bb1670b6e44\Project1\main\mainapp\views.py,105,written by copilot,method,"[90,191]",,
BioLlama\93b7b35742ff3df801d47098a863c83d42caa986\utilities\db_retrieval.py,61,written by copilot,statement,"[63,115]",,
dive-map\d4ab5d5e6d0166baca929e790ec4772827e1ba25\map_functions.py,189,written by copilot,method,"[188,195]",,
CS131\640986605d74bfe8c923ecf97e05a57256a29293\Project 2\CS131Proj2\fall-23-autograder\interpreterv2.py,38,written by copilot,statement,"[39,43]",,
hospital_management_system\e5a0776ed7ee0f1f3b3e1b5ec6be360bf7d6f3d3\PatientOperations.py,114,written by copilot,statement,"[115,168]",,
ColubridLovers_ProjectOne\d6268ac749a541c49a7538d81ce15c36f47fd355\Project1\main\mainapp\models.py,4,written by copilot,file,"[1,70]",,
SE_Project2\ed128adf9838a4b3277d42a416bc0bb1670b6e44\Project1\main\mainapp\models.py,4,written by copilot,file,"[1,70]",,
SE_Project2\ed128adf9838a4b3277d42a416bc0bb1670b6e44\Project1\main\mainapp\admin.py,6,written by copilot,file,"[1,9]",,
ColubridLovers_ProjectOne\d6268ac749a541c49a7538d81ce15c36f47fd355\Project1\main\mainapp\views.py,105,written by copilot,method,"[90,191]",,
Auto-Synced-Translated-Dubs\34e125e4137f5d203c068d267d7db504c633f293\Scripts\translate.py,68,written by gpt-3,method,"[71,308]",,
DarkOPS\e50def1b6b827d93c3c064b9b3fb11c1381e9e38\function\check_review\checkforAI.py,9,written by gpt-3,no code,,,
slides\84f534c796c1260c7c37abd87c8aec77c1261fcf\mll\presentation.py,171,written by gpt-3,no code,,,
HandwrittenLaTeXRecognition\7fbbeacae63d438ed81e3f97ebb0fefadc6e4a70\data_formatting.py,102,written by gpt-3,method,"[100,141]",,
LaneFire\e16455f65264ec583558dca64dd43c48f2699ec3\Lane_Fire_Run.py,303,written by gpt-3,method,"[301,313]",,
THARUN_TTS\ba513eb3442430030f6de64ed1b029789c9fbb17\main.py,426,written by gpt-3,method,"[432,604]",,
THARUN_TTS\ba513eb3442430030f6de64ed1b029789c9fbb17\getSubtitles.py,406,written by gpt-3,method,"[412,584]",,
audio_sub\9b14f86e78da577d2dadc3d047c2f70d1440a315\Scripts\translate.py,98,written by gpt-3,method,"[101,590]",,
